AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_E,AAC_Q,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V
TOPB45_0012,0.0670498084291188,0.024904214559387,0.0344827586206897,0.0421455938697318,0.0114942528735632,0.0804597701149425,0.0134099616858238,0.0977011494252874,0.0134099616858238,0.0900383141762452,0.122605363984674,0.10536398467433,0.00957854406130268,0.0402298850574713,0.0517241379310345,0.0555555555555556,0.0402298850574713,0.00383141762452107,0.0383141762452107,0.0574712643678161
TOPB45_0013,0.0546875,0.0546875,0.0234375,0.0234375,0,0.1015625,0.015625,0.078125,0.015625,0.109375,0.1171875,0.125,0.0078125,0.0859375,0.0234375,0.0703125,0.0234375,0,0.0390625,0.03125
TOPB45_0014,0.0860927152317881,0.0463576158940397,0.0529801324503311,0.0264900662251656,0.0198675496688742,0.105960264900662,0,0.0927152317880795,0.0264900662251656,0.112582781456954,0.0860927152317881,0.0860927152317881,0.0264900662251656,0.0529801324503311,0.033112582781457,0.0397350993377483,0.0198675496688742,0.00662251655629139,0.0264900662251656,0.0529801324503311
TOPB45_0015,0.113801452784504,0.036319612590799,0.0411622276029056,0.0411622276029056,0.0193704600484262,0.0702179176755448,0.0193704600484262,0.108958837772397,0.0169491525423729,0.0823244552058111,0.0702179176755448,0.0677966101694915,0.026634382566586,0.0411622276029056,0.0532687651331719,0.0435835351089588,0.0460048426150121,0.00484261501210654,0.026634382566586,0.0702179176755448
TOPB45_0016,0.0759493670886076,0.0126582278481013,0.0126582278481013,0.0886075949367089,0,0.164556962025316,0.0379746835443038,0.0379746835443038,0,0.0759493670886076,0.0886075949367089,0.10126582278481,0.0506329113924051,0.0253164556962025,0.0253164556962025,0.0632911392405063,0.0253164556962025,0,0.0126582278481013,0.10126582278481
TOPB45_0017,0.0311614730878187,0.0198300283286119,0.028328611898017,0.0141643059490085,0.0056657223796034,0.0708215297450425,0.0169971671388102,0.0453257790368272,0,0.0878186968838527,0.175637393767705,0.104815864022663,0.0141643059490085,0.138810198300283,0.0396600566572238,0.056657223796034,0.0368271954674221,0.0198300283286119,0.0509915014164306,0.0424929178470255
TOPB45_0018,0.0355191256830601,0.0382513661202186,0.0300546448087432,0.0191256830601093,0.00273224043715847,0.0655737704918033,0.0300546448087432,0.0437158469945355,0.0109289617486339,0.092896174863388,0.131147540983607,0.0983606557377049,0.00819672131147541,0.158469945355191,0.0300546448087432,0.0710382513661202,0.0245901639344262,0.0109289617486339,0.0601092896174863,0.0382513661202186
TOPB45_0019,0.0283505154639175,0.0335051546391753,0.0695876288659794,0.0128865979381443,0.0128865979381443,0.0979381443298969,0.0128865979381443,0.0541237113402062,0.0128865979381443,0.0541237113402062,0.15979381443299,0.134020618556701,0.0077319587628866,0.0721649484536082,0.038659793814433,0.0515463917525773,0.0438144329896907,0.0128865979381443,0.0695876288659794,0.0206185567010309
TOPB45_0020,0.0454545454545455,0.0661157024793388,0.0537190082644628,0.0330578512396694,0.012396694214876,0.0909090909090909,0.012396694214876,0.0495867768595041,0.00826446280991736,0.0785123966942149,0.148760330578512,0.0950413223140496,0.00413223140495868,0.0619834710743802,0.0578512396694215,0.0454545454545455,0.0206611570247934,0,0.0537190082644628,0.0619834710743802
TOPB45_0021,0.0443786982248521,0.029585798816568,0.0562130177514793,0.0384615384615385,0.0384615384615385,0.0769230769230769,0.0207100591715976,0.0621301775147929,0.029585798816568,0.0857988165680473,0.0917159763313609,0.0887573964497041,0.00591715976331361,0.0532544378698225,0.0621301775147929,0.0384615384615385,0.0414201183431953,0.0118343195266272,0.0739644970414201,0.0502958579881657
