CTDC_hydrophobicity.Group1,CTDC_hydrophobicity.Group2,CTDC_hydrophobicity.Group3,CTDC_normwaalsvolume.Group1,CTDC_normwaalsvolume.Group2,CTDC_normwaalsvolume.Group3,CTDC_polarity.Group1,CTDC_polarity.Group2,CTDC_polarity.Group3,CTDC_polarizability.Group1,CTDC_polarizability.Group2,CTDC_polarizability.Group3,CTDC_charge.Group1,CTDC_charge.Group2,CTDC_charge.Group3,CTDC_secondarystruct.Group1,CTDC_secondarystruct.Group2,CTDC_secondarystruct.Group3,CTDC_solventaccess.Group1,CTDC_solventaccess.Group2,CTDC_solventaccess.Group3
TOPB45_0011,0.373134328358209,0.298507462686567,0.328358208955224,0.276119402985075,0.432835820895522,0.291044776119403,0.395522388059701,0.216417910447761,0.388059701492537,0.194029850746269,0.514925373134328,0.291044776119403,0.149253731343284,0.671641791044776,0.17910447761194,0.432835820895522,0.358208955223881,0.208955223880597,0.402985074626866,0.373134328358209,0.223880597014925
TOPB45_0012,0.300766283524904,0.363984674329502,0.335249042145594,0.365900383141762,0.398467432950192,0.235632183908046,0.373563218390805,0.312260536398467,0.314176245210728,0.302681992337165,0.461685823754789,0.235632183908046,0.130268199233716,0.747126436781609,0.122605363984674,0.436781609195402,0.281609195402299,0.281609195402299,0.490421455938697,0.300766283524904,0.208812260536398
TOPB45_0013,0.34375,0.3046875,0.3515625,0.2734375,0.3984375,0.328125,0.390625,0.25,0.359375,0.25,0.421875,0.328125,0.1796875,0.6953125,0.125,0.4921875,0.2890625,0.21875,0.4765625,0.34375,0.1796875
TOPB45_0014,0.317880794701987,0.324503311258278,0.357615894039735,0.317880794701987,0.410596026490066,0.271523178807947,0.384105960264901,0.271523178807947,0.344370860927152,0.264900662251656,0.463576158940397,0.271523178807947,0.132450331125828,0.735099337748344,0.132450331125828,0.463576158940397,0.291390728476821,0.245033112582781,0.509933774834437,0.317880794701987,0.172185430463576
TOPB45_0015,0.276029055690073,0.409200968523002,0.314769975786925,0.426150121065375,0.353510895883777,0.220338983050847,0.341404358353511,0.365617433414044,0.292978208232446,0.353510895883777,0.426150121065375,0.220338983050847,0.104116222760291,0.784503631961259,0.11138014527845,0.421307506053269,0.290556900726392,0.288135593220339,0.51089588377724,0.276029055690073,0.213075060532688
TOPB45_0016,0.417721518987342,0.240506329113924,0.341772151898734,0.316455696202532,0.481012658227848,0.20253164556962,0.354430379746835,0.227848101265823,0.417721518987342,0.291139240506329,0.506329113924051,0.20253164556962,0.113924050632911,0.632911392405063,0.253164556962025,0.531645569620253,0.240506329113924,0.227848101265823,0.40506329113924,0.417721518987342,0.177215189873418
TOPB45_0017,0.254957507082153,0.260623229461756,0.484419263456091,0.229461756373938,0.422096317280453,0.348441926345609,0.535410764872521,0.209631728045326,0.254957507082153,0.18413597733711,0.46742209631728,0.348441926345609,0.124645892351275,0.790368271954674,0.084985835694051,0.43342776203966,0.382436260623229,0.18413597733711,0.546742209631728,0.254957507082153,0.198300283286119
TOPB45_0018,0.281420765027322,0.275956284153005,0.442622950819672,0.226775956284153,0.387978142076503,0.385245901639344,0.502732240437158,0.204918032786885,0.292349726775956,0.193989071038251,0.420765027322404,0.385245901639344,0.136612021857924,0.778688524590164,0.0846994535519126,0.418032786885246,0.387978142076503,0.193989071038251,0.513661202185792,0.281420765027322,0.204918032786885
TOPB45_0019,0.360824742268041,0.298969072164948,0.34020618556701,0.242268041237113,0.414948453608247,0.342783505154639,0.40979381443299,0.216494845360825,0.373711340206186,0.190721649484536,0.466494845360825,0.342783505154639,0.167525773195876,0.721649484536082,0.110824742268041,0.487113402061856,0.286082474226804,0.22680412371134,0.414948453608247,0.360824742268041,0.224226804123711
TOPB45_0020,0.351239669421488,0.28099173553719,0.367768595041322,0.264462809917355,0.446280991735537,0.289256198347107,0.421487603305785,0.21900826446281,0.359504132231405,0.194214876033058,0.516528925619835,0.289256198347107,0.161157024793388,0.714876033057851,0.12396694214876,0.471074380165289,0.289256198347107,0.239669421487603,0.458677685950413,0.351239669421488,0.190082644628099
TOPB45_0021,0.310650887573964,0.35207100591716,0.337278106508876,0.325443786982249,0.381656804733728,0.292899408284024,0.411242603550296,0.248520710059172,0.340236686390533,0.224852071005917,0.482248520710059,0.292899408284024,0.118343195266272,0.766272189349112,0.115384615384615,0.387573964497041,0.355029585798817,0.257396449704142,0.437869822485207,0.310650887573964,0.251479289940828
TOPB45_0022,0.348066298342541,0.303867403314917,0.348066298342541,0.30939226519337,0.43646408839779,0.25414364640884,0.375690607734807,0.259668508287293,0.364640883977901,0.237569060773481,0.50828729281768,0.25414364640884,0.151933701657459,0.720994475138122,0.12707182320442,0.469613259668508,0.292817679558011,0.237569060773481,0.430939226519337,0.348066298342541,0.220994475138122
TOPB45_0023,0.309885931558935,0.338403041825095,0.35171102661597,0.340304182509506,0.452471482889734,0.20722433460076,0.376425855513308,0.298479087452471,0.325095057034221,0.288973384030418,0.503802281368821,0.20722433460076,0.119771863117871,0.749049429657795,0.131178707224335,0.456273764258555,0.29467680608365,0.249049429657795,0.484790874524715,0.309885931558935,0.20532319391635
TOPB45_0024,0.304909560723514,0.333333333333333,0.361757105943152,0.330749354005168,0.41343669250646,0.255813953488372,0.392764857881137,0.286821705426357,0.320413436692506,0.27390180878553,0.470284237726098,0.255813953488372,0.134366925064599,0.751937984496124,0.113695090439276,0.470284237726098,0.286821705426357,0.242894056847545,0.472868217054264,0.304909560723514,0.222222222222222
TOPB45_0025,0.378205128205128,0.320512820512821,0.301282051282051,0.314102564102564,0.487179487179487,0.198717948717949,0.33974358974359,0.275641025641026,0.384615384615385,0.262820512820513,0.538461538461538,0.198717948717949,0.128205128205128,0.698717948717949,0.173076923076923,0.455128205128205,0.294871794871795,0.25,0.442307692307692,0.378205128205128,0.179487179487179
TOPB45_0026,0.36046511627907,0.32093023255814,0.318604651162791,0.33953488372093,0.4,0.26046511627907,0.36046511627907,0.269767441860465,0.369767441860465,0.27906976744186,0.46046511627907,0.26046511627907,0.146511627906977,0.697674418604651,0.155813953488372,0.472093023255814,0.297674418604651,0.230232558139535,0.455813953488372,0.36046511627907,0.183720930232558
